,budget,genres,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year
6628,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,9.697105,1961-12-01,10000000.0,186.0,Released,Judgment at Nuremberg,7.6,161.0,1961
6630,118,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2.103581,1978-04-23,19.0,119.0,Released,"Same Time, Next Year",6.5,18.0,1978
6634,8847685,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",fr,5.568997,1939-06-08,0.0,110.0,Released,The Rules of the Game,7.7,109.0,1939
6638,8500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,12.421754,1976-04-04,70600000.0,138.0,Released,All the President's Men,7.6,424.0,1976
6641,8000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",pl,5.019679,2001-01-20,8826094.0,107.0,Released,Avalon,6.8,93.0,2001
6643,35000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",ru,1.928011,1998-10-13,0.0,180.0,Released,The Barber of Siberia,7.2,32.0,1998
6645,15000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",en,5.886769,1993-12-14,118243066.0,89.0,Released,Beethoven's 2nd,5.0,175.0,1993
6647,6500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,6.866506,1991-07-12,57504069.0,112.0,Released,Boyz n the Hood,7.4,377.0,1991
6648,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,5.516316,1991-12-10,49114016.0,134.0,Released,Bugsy,6.0,83.0,1991
6653,18000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",en,2.967012,1992-10-16,21591728.0,99.0,Released,Consenting Adults,5.6,27.0,1992
6654,3800000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,5.621519,1985-01-31,0.0,116.0,Released,Phenomena,6.7,146.0,1985
6655,3000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,3.718284,1985-09-19,0.0,83.0,Released,Crimewave,5.3,26.0,1985
6656,6100000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",en,7.603066,1995-04-23,0.0,102.0,Released,Crying Freeman,6.3,69.0,1995
6659,7700000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",en,12.088407,1968-12-04,21000000.0,155.0,Released,Where Eagles Dare,7.4,233.0,1968
6661,19000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,8.560694,1991-02-08,174999005.0,99.0,Released,Sleeping with the Enemy,6.1,228.0,1991
6662,9000000,"[{'id': 35, 'name': 'Comedy'}]",en,8.888278,1994-04-29,4350774.0,79.0,Released,PCU,6.0,42.0,1994
6663,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,8.110591,1990-12-06,21633874.0,120.0,Released,The Rookie,5.6,134.0,1990
6664,700000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",en,1.907872,1966-01-20,0.0,90.0,Released,The Ghost & Mr. Chicken,6.6,29.0,1966
6665,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,12.881025,1984-12-05,38348988.0,93.0,Released,City Heat,5.1,49.0,1984
6666,11400000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,5.709878,1985-02-15,6700000.0,115.0,Released,Into the Night,6.4,59.0,1985
6670,8000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,2.404818,1991-05-03,10400000.0,115.0,Released,A Rage in Harlem,5.8,17.0,1991
6671,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",en,5.603312,2000-08-01,0.0,108.0,Released,Ginger Snaps,6.6,211.0,2000
6672,2500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",en,3.084426,1979-08-03,15014674.0,110.0,Released,More American Graffiti,4.8,23.0,1979
6680,13000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,1.386549,1992-08-21,3721911.0,89.0,Released,The Gun in Betty Lou's Handbag,4.1,7.0,1992
6684,1000000,"[{'id': 18, 'name': 'Drama'}]",en,0.212418,2000-05-18,0.0,88.0,Released,The Debut,5.3,4.0,2000
6692,18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,2.471038,1992-03-13,6375979.0,100.0,Released,Article 99,5.5,12.0,1992
6697,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,0.957019,1987-09-18,858250.0,110.0,Released,Tough Guys Don't Dance,4.8,6.0,1987
6698,10500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,0.377787,1994-09-02,123509.0,99.0,Released,There Goes My Baby,8.5,2.0,1994
6699,500000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,2.884359,1977-08-24,17000000.0,97.0,Released,Kingdom of the Spiders,5.6,31.0,1977
6703,3500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,8.592792,1967-12-14,13007551.0,134.0,Released,In Cold Blood,7.4,83.0,1967
6711,23000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,12.511561,1991-07-26,20246790.0,104.0,Released,Mobsters,5.7,34.0,1991
6713,50000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,10.738888,2003-10-03,55495563.0,105.0,Released,Out of Time,6.1,305.0,2003
6714,35000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",en,17.95142,2003-10-03,131282949.0,108.0,Released,School of Rock,6.8,1454.0,2003
6718,500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,5.85469,2003-01-26,8679814.0,88.0,Released,The Station Agent,7.4,213.0,2003
6719,5000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,8.062123,2003-10-23,2466444.0,104.0,Released,Wonderland,6.2,73.0,2003
6721,25000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",en,12.602438,2003-10-07,156822020.0,138.0,Released,Mystic River,7.6,1473.0,2003
6722,17000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",en,6.575505,2003-10-10,0.0,87.0,Released,Good Boy!,4.6,31.0,2003
6723,7000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,5.701278,2003-04-11,13818181.0,90.0,Released,House of the Dead,2.8,106.0,2003
6724,60000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,13.469862,2003-09-02,119940815.0,100.0,Released,Intolerable Cruelty,5.8,400.0,2003
6725,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",en,25.261865,2003-10-10,180949000.0,111.0,Released,Kill Bill: Vol. 1,7.7,5091.0,2003
6730,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,8.810961,2003-10-09,80154140.0,127.0,Released,Runaway Jury,6.9,354.0,2003
6731,9500000,"[{'id': 27, 'name': 'Horror'}]",en,7.810068,2003-10-17,107071655.0,98.0,Released,The Texas Chainsaw Massacre,6.1,670.0,2003
6732,300000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,4.19275,2003-01-19,0.0,81.0,Released,Pieces of April,6.4,64.0,2003
6734,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,11.37237,2003-10-17,10000000.0,109.0,Released,Sylvia,5.6,34.0,2003
6735,17000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,9.548519,2003-07-11,1569918.0,98.0,Released,Veronica Guerin,6.8,61.0,2003
6736,12000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,5.799628,2003-09-09,23.0,119.0,Released,In the Cut,4.7,93.0,2003
6737,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",en,8.940335,2003-10-23,0.0,127.0,Released,Beyond Borders,6.7,113.0,2003
6738,32000000,"[{'id': 18, 'name': 'Drama'}]",en,5.81647,2003-10-24,52277485.0,109.0,Released,Radio,6.8,146.0,2003
6739,48000000,"[{'id': 35, 'name': 'Comedy'}]",en,11.142209,2003-10-24,220673217.0,84.0,Released,Scary Movie 3,5.8,948.0,2003
6740,100000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,12.300905,2003-10-23,0.0,85.0,Released,Brother Bear,6.9,1410.0,2003
6741,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,6.447312,2003-05-18,10012022.0,81.0,Released,Elephant,7.0,410.0,2003
6744,3000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",fr,9.371815,1969-06-02,0.0,99.0,Released,The Italian Job,7.1,202.0,1969
6753,7000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",en,7.335241,2002-04-13,0.0,116.0,Released,Interstate 60,7.1,136.0,2002
6760,400000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]",en,2.980415,1974-04-07,0.0,91.0,Released,Captain Kronos: Vampire Hunter,6.0,28.0,1974
6776,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,8.408429,2003-10-29,0.0,106.0,Released,The Human Stain,6.1,124.0,2003
6781,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,6.0872,2003-11-14,2944752.0,94.0,Released,Shattered Glass,6.6,114.0,2003
6783,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,15.368205,2003-11-05,424988211.0,129.0,Released,The Matrix Revolutions,6.4,3155.0,2003
6785,32000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,8.754132,2003-10-09,173398518.0,97.0,Released,Elf,6.4,1007.0,2003
6791,40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",en,10.586815,2003-09-07,244931766.0,135.0,Released,Love Actually,7.0,1917.0,2003
6795,80000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,13.666488,2003-11-14,68514844.0,90.0,Released,Looney Tunes: Back in Action,5.6,302.0,2003
6796,150000000,"[{'id': 12, 'name': 'Adventure'}]",en,8.693298,2003-11-14,212011111.0,138.0,Released,Master and Commander: The Far Side of the World,6.9,808.0,2003
6797,300000,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",en,2.409278,2003-01-23,7808524.0,112.0,Released,Tupac: Resurrection,8.0,26.0,2003
6799,60000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}]",en,8.975439,2003-11-26,0.0,135.0,Released,The Missing,6.1,162.0,2003
6801,40000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,10.939066,2003-11-21,141591324.0,98.0,Released,Gothika,5.8,643.0,2003
6802,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,6.372278,2003-09-06,60427839.0,124.0,Released,21 Grams,7.2,943.0,2003
6803,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",fr,4.125182,2003-05-21,3432342.0,99.0,Released,The Barbarian Invasions,6.7,80.0,2003
6805,23000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,10.930143,2003-11-26,76488889.0,91.0,Released,Bad Santa,6.4,666.0,2003
6806,90000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",en,11.605735,2003-11-25,182290266.0,87.0,Released,The Haunted Mansion,5.1,481.0,2003
6807,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,6.982762,2003-11-26,43935763.0,116.0,Released,Timeline,5.4,324.0,2003
6814,16000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]",en,8.899418,1990-08-24,48878502.0,96.0,Released,Darkman,6.2,304.0,1990
6825,8500000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,12.979446,1991-03-08,47624253.0,97.0,Released,New Jack City,6.3,134.0,1991
6827,12000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",en,8.321647,1983-06-03,79567667.0,114.0,Released,WarGames,7.0,517.0,1983
6828,2000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",en,3.04045,1962-06-15,0.0,116.0,Released,Mr. Hobbs Takes a Vacation,6.0,22.0,1962
6834,3900000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",en,2.301098,1925-12-30,9000000.0,143.0,Released,Ben-Hur: A Tale of the Christ,7.3,20.0,1925
6835,18000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",de,7.191271,1920-02-25,0.0,78.0,Released,The Cabinet of Dr. Caligari,7.7,279.0,1920
6838,6000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,5.393807,1979-01-25,0.0,110.0,Released,The First Great Train Robbery,6.6,74.0,1979
6840,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,8.847461,1994-03-11,0.0,96.0,Released,Guarding Tess,5.9,86.0,1994
6841,6400000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,9.57874,1986-02-07,40084041.0,107.0,Released,Hannah and Her Sisters,7.6,224.0,1986
6844,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",en,8.032638,1991-01-30,15556340.0,91.0,Released,Highlander II: The Quickening,4.5,213.0,1991
6845,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 36, 'name': 'History'}]",en,5.027522,1992-12-25,0.0,140.0,Released,Hoffa,6.1,84.0,1992
6848,65000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",en,9.782014,1991-05-23,17218080.0,100.0,Released,Hudson Hawk,5.4,275.0,1991
6849,3500000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,5.219641,1978-12-19,24046533.0,115.0,Released,Invasion of the Body Snatchers,7.1,231.0,1978
6851,11000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",en,7.693274,1991-11-15,0.0,98.0,Released,Kafka,6.6,28.0,1991
6852,15000000,"[{'id': 35, 'name': 'Comedy'}]",en,3.67003,1990-12-21,201957688.0,111.0,Released,Kindergarten Cop,5.8,643.0,1990
6855,29000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,10.550259,1991-12-11,59509925.0,105.0,Released,The Last Boy Scout,6.5,502.0,1991
6856,1250000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fr,12.74564,1972-10-14,36144000.0,129.0,Released,Last Tango in Paris,7.1,240.0,1972
6860,20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",en,4.414928,1990-10-12,15379253.0,110.0,Released,Mr. Destiny,6.1,60.0,1990
6861,795000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,7.892337,1955-04-03,0.0,93.0,Released,The Night of the Hunter,7.9,335.0,1955
6864,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",en,8.431956,1987-02-13,16057580.0,93.0,Released,Over the Top,5.7,331.0,1987
6865,15000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,18.451321,1992-11-05,44065653.0,84.0,Released,Passenger 57,5.6,264.0,1992
6866,22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",en,7.025657,1990-07-26,221303188.0,127.0,Released,Presumed Innocent,6.6,155.0,1990
6867,18000000,"[{'id': 18, 'name': 'Drama'}]",en,10.000775,1987-04-17,18532286.0,108.0,Released,Project X,6.2,77.0,1987
6869,17010000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",en,2.07443,1991-08-09,24941969.0,96.0,Released,Pure Luck,5.5,32.0,1991
6870,4500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",ja,12.701098,2000-12-16,25000000.0,114.0,Released,Battle Royale,7.3,992.0,2000
6871,1000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",zh,2.709403,1993-08-04,6933459.0,109.0,Released,The Wedding Banquet,6.8,42.0,1993
6875,26000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",en,8.748084,1985-07-10,0.0,127.0,Released,Silverado,7.1,147.0,1985
6877,530000,"[{'id': 27, 'name': 'Horror'}]",en,11.284126,1977-04-08,0.0,91.0,Released,Rabid,6.4,90.0,1977
6878,35000000,"[{'id': 18, 'name': 'Drama'}]",en,5.618237,1992-02-21,4651977.0,114.0,Released,Radio Flyer,6.6,54.0,1992
6881,12000000,"[{'id': 35, 'name': 'Comedy'}]",en,5.409557,1987-04-10,110996879.0,111.0,Released,The Secret of My Success,6.2,151.0,1987
6883,14500000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10402, 'name': 'Music'}]",en,6.958758,1984-06-01,8089290.0,93.0,Released,Streets of Fire,6.6,105.0,1984
6891,64000,"[{'id': 18, 'name': 'Drama'}]",fr,11.30591,1962-09-20,24517.0,85.0,Released,Vivre Sa Vie,7.6,105.0,1962
6892,9500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,8.528622,1990-05-01,14560247.0,124.0,Released,Wild at Heart,7.0,341.0,1990
6895,24000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,7.505786,1985-08-16,18707466.0,134.0,Released,Year of the Dragon,6.5,70.0,1985
6896,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",en,6.287242,1997-07-18,0.0,97.0,Released,Nothing to Lose,6.3,174.0,1997
6900,864000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,4.466335,1936-08-28,1276000.0,123.0,Released,Mary of Scotland,6.6,8.0,1936
6903,886000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,6.507597,1936-08-27,2600000.0,103.0,Released,Swing Time,7.1,47.0,1936
6910,2650000,"[{'id': 18, 'name': 'Drama'}]",en,4.471515,1962-07-03,3100000.0,147.0,Released,Birdman of Alcatraz,7.0,71.0,1962
6911,92000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",de,10.996826,1972-12-29,0.0,93.0,Released,Aguirre: The Wrath of God,7.5,210.0,1972
6913,100000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",en,5.113205,1915-02-08,11000000.0,193.0,Released,The Birth of a Nation,6.4,109.0,1915
6918,3000000,"[{'id': 37, 'name': 'Western'}]",en,6.09018,1948-08-26,9012000.0,133.0,Released,Red River,7.3,85.0,1948
6920,531374,"[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",en,7.970462,1939-03-02,1103757.0,96.0,Released,Stagecoach,7.6,216.0,1939
6923,4000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,3.940121,1955-12-24,0.0,101.0,Released,The Court Jester,7.7,47.0,1955
6924,5500000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,7.01973,1968-10-17,42300873.0,113.0,Released,Bullitt,7.0,273.0,1968
6926,1250000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,11.277226,1938-03-19,0.0,103.0,Released,Jezebel,7.2,39.0,1938
6928,439000,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,4.718154,1933-02-02,2281000.0,89.0,Released,42nd Street,6.1,38.0,1933
6929,225000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,1.533379,1933-10-06,2850000.0,87.0,Released,I'm No Angel,6.3,6.0,1933
6935,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",en,11.842837,1984-12-14,27187653.0,163.0,Released,A Passage to India,6.8,69.0,1984
6938,31000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",zh,9.861765,2002-12-19,177394432.0,99.0,Released,Hero,7.3,647.0,2002
6940,1152000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1.810574,1935-08-30,1439000.0,95.0,Released,Anna Karenina,6.6,25.0,1935
6941,4000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,5.789565,1974-12-01,0.0,105.0,Released,The Front Page,6.9,69.0,1974
6947,1000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",ja,11.267366,1984-03-11,3301446.0,117.0,Released,Nausicaä of the Valley of the Wind,7.7,808.0,1984
6950,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,7.907938,1987-06-25,66673516.0,106.0,Released,Dragnet,5.7,139.0,1987
6952,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",en,7.812379,1979-12-13,31755742.0,113.0,Released,1941,5.6,145.0,1979
6960,600000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,1.68989,1967-02-05,0.0,105.0,Released,Accident,5.6,15.0,1967
6965,900000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,9.096254,1993-01-08,8556940.0,92.0,Released,Leprechaun,5.1,120.0,1993
6966,8000000,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]",ja,2.988405,1987-03-14,0.0,121.0,Released,Royal Space Force - The Wings Of Honneamise,6.7,27.0,1987
6968,2500000,"[{'id': 27, 'name': 'Horror'}]",en,0.944886,2003-04-15,0.0,94.0,Released,Dark Wolf,3.4,9.0,2003
6971,16000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,7.919299,1991-12-27,0.0,115.0,Released,Naked Lunch,7.0,207.0,1991
6975,16000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,5.857368,1991-02-01,4409328.0,91.0,Released,Run,5.5,13.0,1991
6984,350000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fr,6.564465,1968-08-13,0.0,96.0,Released,Stolen Kisses,7.4,59.0,1968
